Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Засенко;Марія;Дмитрівна;Ж;1996-08-08;Льотчик; Слов'янськ;сквер Водний, буд. 8, Слов'янськ, 23590;284-40-53;iustyna74@example.net
Сіробаба;Пантелеймон;Федорович;Ч;2007-12-21;Драматург; Сторожинець;парк Скляний 3-й, буд. 884, Сторожинець, 72473;002 95 57;orysiakabanenko@example.org
Базилевський;Венедикт;Аркадійович;Ч;1997-11-25;Кухар; Трускавець;парк Маяковського, буд. 706, Трускавець, 10107;+380 (76) 913-01-75;makar40@example.org
Гузій;Петро;Федорович;Ч;1992-10-24;Математик; Ясинувата;набережна Різовська, буд. 310, Ясинувата, 94204;057 554 78 95;jriabovil@example.org
Андрейко;Андрій;Михайлович;Ч;1995-06-22;Доцент; Шпола;шосе Шебелінський, буд. 10, Шпола, 62854;083 047-51-41;vtovstolis@example.org
Акуленко;Павло;Володимирович;Ч;1974-02-19;Історик; Петрово-Красносілля;вулиця 6-та Суворовська, буд. 97 кв. 1, Петрово-Красносілля, 54404;996 06 33;valentyn67@example.com
Теліженко;Климент;Дмитрович;Ч;1949-08-30;Парфюмер; Марганець ;проспект Лазурний 3-й, буд. 32, Марганець , 48166;476 24 85;khudobiakvenedykt@example.net
Бабиченко;Лесь;Федорович;Ч;1994-08-06;Біолог; Южне;набережна Південна, буд. 803 кв. 5, Южне, 92964;691-54-25;taranboryslav@example.org
Носаченко;Ростислав;Тимофійович;Ч;1970-04-02;Філолог; Дунаївці;парк Окружна, буд. 3, Дунаївці, 38152;015 988 45 34;aarondarahan@example.com
Демʼянюк;Володимира;Борисівна;Ж;1988-05-27;Бібліограф; Мала Виска;узвіз Березовий, буд. 07, Мала Виска, 94258;627 90 67;lkopytko@example.com
Лагода;Михайлина;Дмитрівна;Ж;1985-05-13;Геолог; Вовчанськ;шосе Запорізька, буд. 56 кв. 14, Вовчанськ, 14699;038 291-11-07;ilukash@example.com
Михайличенко;Святослава;Петрівна;Ж;1941-08-26;Музикознавець; Джанкой;набережна Ботанічний, буд. 6 кв. 42, Джанкой, 82739;+380 77 553 48 11;ieva29@example.org
Тригуб;Олег;Іванович;Ч;1979-12-03;Модельєр; Глобине;вулиця Кутова, буд. 6 кв. 862, Глобине, 34989;024 353-69-44;halyna99@example.com
Габелко;Миколай;Вікторович;Ч;1954-12-31;Кінорежисер; Миргород;набережна Сінна, буд. 69, Миргород, 39831;+380 45 486-32-97;vira47@example.com
Цюцюра;Семен;Петрович;Ч;1990-11-26;Ювелір; Кривий Ріг;проспект Данькевича, буд. 88, Кривий Ріг, 37235;+380 29 278-35-72;okabaliuk@example.com
Яремко;Михайло;Васильович;Ч;1959-03-11;Графік; Гайсин;провулок Ширяївський, буд. 802 кв. 0, Гайсин, 43669;057-52-75;yiemets@example.org
Скопенко;Юстим;Євгенович;Ч;2002-01-28;Слідчий; Червоноград;парк Дніпропетровська дорога, буд. 536, Червоноград, 48781;076 962 76 18;martyniakymchuk@example.net
Пелех;Устим;Кузьмич;Ч;1997-09-02;Етнограф; Вишгород;вулиця Олександрівський, буд. 3, Вишгород, 89865;024 357 07 37;illiadevdiuk@example.org
Павличенко;Аліна;Петрівна;Ж;1966-12-23;Різноробочий; Острог;проспект Кленова, буд. 11 кв. 5, Острог, 11603;775 48 46;baklanpanas@example.net
Симоненко;Микита;Юрійович;Ч;1964-08-21;Няня; Новий Калинів;сквер Каховський, буд. 67, Новий Калинів, 88449;040 453 21 49;boleslavdzhus@example.org
Шутько;Аркадій;Юрійович;Ч;1988-02-29;Графік; Гребінка;парк Гагаріна, буд. 4, Гребінка, 02285;560-52-72;amvrosii48@example.net
Луценко;Олекса;Борисович;Ч;1981-01-10;Електромонтажник; Антрацит ;провулок Тарутинська, буд. 354 кв. 8, Антрацит , 25366;025 252-07-58;satsiukbohdanna@example.net
Абраменко;Дмитро;Аркадійович;Ч;1964-03-20;Фотограф; Боярка;вулиця Дунаєвського 2-й, буд. 752, Боярка, 66561;016 730 87 63;karmaliukvolodymyra@example.com
Башполченко;Аніта;Дмитрівна;Ж;1966-08-23;Детектив; Ялта;площа Амурський 3-й, буд. 577 кв. 035, Ялта, 20653;441-02-57;fedir86@example.com
Охримович;Ірина;Олександрівна;Ж;1972-10-13;Диригент; Голубівка;узвіз Тимірязєва, буд. 67, Голубівка, 39396;154 59 33;oleh20@example.com
Деркач;Давид;Тимофійович;Ч;1970-07-20;Електрик; Острог;узвіз Чорноморська, буд. 362, Острог, 24086;219-73-77;zperepelytsia@example.net
Примаченко;Алевтин;Ярославович;Ч;1998-02-22;Локсмайстер; Торецьк;узвіз Грибоєдова, буд. 68 кв. 02, Торецьк, 20966;+380 95 794-76-14;liudmylatsiupa@example.net
Цюпа;Леопольд;Сергійович;Ч;1956-05-25;Провізор; Рахів;набережна Вапняне селище, буд. 6 кв. 73, Рахів, 12403;095 463-73-66;vasylenkonataliia@example.net
Гайдай;Любов;Тимофіївна;Ж;1997-12-20;Журналіст; Сокаль;провулок Іванова 2-й, буд. 66, Сокаль, 68884;353-09-91;hennadii37@example.org
Артеменко;Тетяна;Андріївна;Ж;1961-05-21;Музичний редактор; Семенівка;проспект Онілової, буд. 89 кв. 045, Семенівка, 35639;+380 18 707-01-61;zynoviifilipenko@example.org
Цимбалюк;Ярина;Євгенівна;Ж;1975-12-13;Петрограф; Гуляйполе;вулиця Ільфа і Петрова, буд. 570 кв. 59, Гуляйполе, 83726;+380 89 752-74-24;iaryna70@example.net
Дутка;Вадим;Аркадійович;Ч;1943-02-08;Редактор; Краматорськ;провулок Лядова, буд. 40 кв. 09, Краматорськ, 81899;075 806-34-14;mazepaspas@example.org
Дерегус;Богодар;Георгійович;Ч;1963-06-25;Драматург; Молодогвардійськ;сквер Академіка Заболотного, буд. 032 кв. 747, Молодогвардійськ, 98170;+380 (98) 263-23-94;stelmakhklavdiia@example.org
Мазур;Богодар;Володимирович;Ч;1985-01-27;Ботанік; Переяслав;набережна 4-та Суворовська, буд. 0, Переяслав, 13533;691 72 29;cbarabash@example.org
Лесик;Орися;Михайлівна;Ж;1990-03-06;Педагог; Косів;проспект Технічний, буд. 902 кв. 670, Косів, 38362;232-03-95;bohdannabatiuk@example.net
Чарниш;Степан;Кузьмич;Ч;1990-06-06;Флорист; Щастя ;сквер Штурманська, буд. 333 кв. 484, Щастя , 79735;+380 (32) 922-74-85;shtepanataliia@example.org
Свистун;Остап;Тимофійович;Ч;1956-04-28;М'ясник; Татарбунари;вулиця Камишова, буд. 98, Татарбунари, 33342;250 68 60;iukhym21@example.com
Цибуленко;Василина;Ярославівна;Ж;1980-02-05;Патологоанатом; Шумськ;вулиця Слов'янська, буд. 4 кв. 7, Шумськ, 87031;005 114 82 41;iustym07@example.org
Асаула;Ірена;Петрівна;Ж;1956-09-22;Педагог; Кривий Ріг;проспект Скворцова, буд. 016, Кривий Ріг, 13357;064 350-32-04;hsatsiuk@example.org
Дуплій;Тетяна;Федорівна;Ж;2007-06-03;Літературознавець; Яворів;сквер Добровольського, буд. 24 кв. 90, Яворів, 83998;+380 43 671-39-01;klavdiiabashpolchenko@example.org
Лагода;Дарина;Федорівна;Ж;1966-05-17;Антрополог; Охтирка;проспект 411-ї батареї, буд. 9 кв. 9, Охтирка, 95808;010 395-19-29;mkhmara@example.net
Лаба;Охрім;Володимирович;Ч;2006-12-12;Соціолог; Генічеськ;проспект Базарна, буд. 649, Генічеськ, 70888;918 70 46;martyn98@example.net
Аронець;Амалія;Володимирівна;Ж;1950-10-10;Ґрунтознавець; Стрий;шосе Кощового отамана, буд. 03, Стрий, 53296;+380 21 864 48 23;opanas87@example.org
Ткаченко;Микита;Вікторович;Ч;1948-05-07;Флорист; Шахтарськ;сквер 14-та Суворовська, буд. 71, Шахтарськ, 69023;070 530 57 35;yandriiovych@example.com
Єрченко;Віталій;Володимирович;Ч;1981-10-22;Менеджер; Ватутіне;узвіз Чернігівський, буд. 33 кв. 6, Ватутіне, 53506;049 459 55 16;charnyshsofiia@example.com
Михайличенко;Трохим;Васильович;Ч;1973-10-05;Різноробочий; Сколе;парк Суднобудівна, буд. 71, Сколе, 31392;033 173 06 81;onysymiefymenko@example.com
Дутка;Варвара;Петрівна;Ж;1974-05-19;Штукатур; Голубівка;площа Слєпньова, буд. 202, Голубівка, 48630;957 37 90;bkovaliuk@example.net
Шведченко;Альбіна;Євгенівна;Ж;1952-05-05;Медик; Радомишль;провулок Приморський, буд. 02, Радомишль, 15311;+380 (07) 880-49-76;ikhomenko@example.com
Каденюк;Демид;Аркадійович;Ч;1989-06-15;Геофізик; Новий Розділ;проспект Глиняна, буд. 45, Новий Розділ, 05900;+380 98 218 05 74;edytavernyhora@example.net
Данченко;Сніжана;Петрівна;Ж;1993-12-22;Живописець; Сновськ;шосе Разумовська, буд. 66, Сновськ, 13532;+380 70 733-29-65;fzubko@example.org
Кащенко;Богуслав;Сергійович;Ч;1958-01-15;Кінорежисер; Люботин;узвіз Степна, буд. 2, Люботин, 03905;+380 21 774-12-61;tovstoliszynovii@example.org
Рева;Анастасія;Андріївна;Ж;1965-08-18;Фрілансер; Мар'їнка;проспект Луганська, буд. 3, Мар'їнка, 30339;807 78 87;anton06@example.com
